Instance,K_Found,SAT,Time_Seconds
i2,2.0,SAT,8.0609
i3,5.0,SAT,1.5533
i4,3.0,SAT,0.8172
i0,3.0,SAT,0.838
i1,4.0,SAT,1.057
i7,5.0,SAT,1.2113
i8,4.0,SAT,1.0465
i9,2.0,SAT,0.4592
i5,5.0,SAT,1.3294
i6,6.0,SAT,1.7644
i12,6.0,SAT,1.6738
i13,5.0,SAT,1.2994
i14,4.0,SAT,1.0655
i10,4.0,SAT,1.2207
i11,6.0,SAT,1.4933
i17,3.0,SAT,0.6245
i18,5.0,SAT,1.1041
i19,6.0,SAT,1.6166
i15,4.0,SAT,0.8647
i16,3.0,SAT,0.7987
i22,6.0,SAT,1.7885
i23,3.0,SAT,0.8139
i24,2.0,SAT,0.5467
i20,5.0,SAT,1.2526
i21,5.0,SAT,1.574
i27,6.0,SAT,1.4592
i28,5.0,SAT,1.5958
i29,6.0,SAT,1.764
i25,3.0,SAT,0.7831
i26,6.0,SAT,1.4251
i32,5.0,SAT,1.5035
i33,5.0,SAT,1.381
i34,5.0,SAT,1.3182
i30,5.0,SAT,1.5897
i31,6.0,SAT,1.7296
i37,5.0,SAT,1.4183
i38,5.0,SAT,1.2949
i39,5.0,SAT,1.3959
i35,5.0,SAT,1.2578
i36,6.0,SAT,1.642
i42,9.0,SAT,238.317
i43,8.0,SAT,27.923
i44,6.0,SAT,2.1678
i40,3.0,SAT,0.8816
i41,4.0,SAT,1.1217
i47,7.0,SAT,6.2026
i48,6.0,SAT,2.0325
i49,7.0,SAT,3.3019
i45,5.0,SAT,1.4881
i46,6.0,SAT,1.7531
i52,5.0,SAT,1.531
i53,6.0,SAT,3.1438
i54,6.0,SAT,2.186
i50,5.0,SAT,1.3499
i51,7.0,SAT,3.0614
i57,6.0,SAT,2.8349
i58,5.0,SAT,1.5792
i59,8.0,SAT,86.2997
i55,4.0,SAT,1.0717
i56,7.0,SAT,8.7356
i62,7.0,SAT,10.7723
i63,,TIMEOUT,300.0
i64,5.0,SAT,2.2171
i60,4.0,SAT,1.2027
i61,7.0,SAT,20.8503
i67,,TIMEOUT,300.0
i68,8.0,SAT,15.8747
i69,6.0,SAT,2.9533
i65,4.0,SAT,1.1519
i66,6.0,SAT,3.002
i72,,TIMEOUT,300.0
i73,7.0,SAT,12.576
i74,6.0,SAT,2.3265
i70,5.0,SAT,1.5217
i71,6.0,SAT,2.33
i77,5.0,SAT,1.2499
i78,,TIMEOUT,300.0
i79,7.0,SAT,18.551
i75,5.0,SAT,1.5249
i76,7.0,SAT,20.5868
i82,,TIMEOUT,300.0
i83,7.0,SAT,299.638
i84,8.0,SAT,191.5978
i80,5.0,SAT,1.5382
i81,,TIMEOUT,300.0
i87,,TIMEOUT,300.0
i88,6.0,SAT,2.1292
i89,,TIMEOUT,300.0
i85,5.0,SAT,1.8146
i86,7.0,SAT,28.1962
i92,,TIMEOUT,300.0
i93,,TIMEOUT,300.0
i94,,TIMEOUT,300.0
i90,5.0,SAT,1.8424
i91,7.0,SAT,8.3506
i97,,TIMEOUT,300.0
i98,,TIMEOUT,300.0
i99,,TIMEOUT,300.0
i95,4.0,SAT,1.2796
i96,7.0,SAT,39.8175
