Instance,K_Found,SAT,Time_Seconds
i42,9,SAT,7.1373
i43,8,SAT,4.1434
i49,7,SAT,2.8261
i51,7,SAT,1.7541
i56,7,SAT,2.5028
i59,8,SAT,6.2718
i61,7,SAT,5.1545
i62,7,SAT,3.601
i63,10,SAT,63.1583
i66,6,SAT,2.1334
i67,9,SAT,16.4671
i68,8,SAT,4.7755
i69,6,SAT,2.4835
i72,8,SAT,9.3954
i73,7,SAT,4.3741
i74,6,SAT,2.5296
i76,7,SAT,6.2132
i78,,TIMEOUT,300.0
i81,8,SAT,15.2442
i82,9,SAT,128.0238
i83,7,SAT,9.398
i84,8,SAT,13.6468
i86,7,SAT,8.2961
i87,8,SAT,13.9603
i88,6,SAT,2.7757
i89,8,SAT,42.1043
i91,7,SAT,4.9692
i92,8,SAT,16.4586
i93,9,SAT,262.8966
i94,8,SAT,71.9919
i97,8,SAT,27.6886
i98,8,SAT,12.8848
i99,8,SAT,21.4363
